,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Mean,Std,Entropy,Energy,Shan_Energy,filename,Unnamed: 0.1.1.1.1
0,0,0,0,0,-0.19179908259901712,16.130052644470748,1.3786065002433887,295969132.0,5495425640.1172285,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
1,1,1,1,1,-0.3027171319820475,12.409431066170988,1.4031926328635045,290176560.0,5380717888.428816,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
2,2,2,2,2,-0.2096286444546428,12.941453742709012,1.5615202642731791,240857360.0,4366901647.93938,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
3,3,3,3,3,-0.13782398625744555,12.317715248387305,1.6104180457880968,228637600.0,4123812782.5004025,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
4,4,4,4,4,-0.1842855843695832,12.981937588202742,1.5027737124212872,253456498.0,4618626355.572265,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
5,5,5,5,5,-0.19244590883929769,12.643877265288513,1.5202817017555874,249027792.0,4529962928.014144,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
6,6,6,6,6,-0.06430411998922042,11.587633266779447,1.5522344493447613,240967820.0,4367458670.1296015,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
7,7,7,7,7,-0.05497535624915414,13.324478757373376,1.4676796023425718,267030046.0,4897854840.328444,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
8,8,8,8,8,-0.1592757338367923,11.664751694448311,1.6542278686363845,216976230.0,3886446742.651416,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
9,9,9,9,9,-0.150264535671804,11.48763467623348,1.7313755807299605,199241034.0,3534439264.7584157,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
10,10,10,10,10,-0.04956283144350622,10.231520408251164,1.454459292809279,270270330.0,4967018010.739379,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
11,11,11,11,11,0.10495076809337003,10.84918210552628,1.5386524132634924,243556078.0,4418146624.1927185,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
12,12,12,12,12,-0.006721220151794487,10.635515194322693,1.3875158642335084,286900998.0,5301390377.801703,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
13,13,13,13,13,-0.04399927221582425,11.419689667332284,1.4430123564754689,269986554.0,4956158112.20628,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
14,14,14,14,14,0.01126848965080608,12.854983023402875,1.6035030508672443,232044230.0,4192569340.8839846,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
15,15,15,15,15,0.12800146416828925,16.6605216997,1.5416632250770232,252703094.0,4616153857.993506,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
16,16,16,16,16,-0.12145233474592752,12.386545889800313,1.5978662264066017,231073842.0,4171494027.922055,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
17,17,17,17,17,-0.25426885987491626,13.325366893754985,1.4068877897555343,274922416.0,5050244194.70086,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
18,18,18,18,18,-0.05064800792797288,10.881424715187396,1.4812402193455672,261930018.0,4794787848.317893,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
19,19,19,19,19,0.060268359556466526,7.969585482682924,1.4178745914864328,283943364.0,5246969029.558954,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
20,20,20,20,20,0.004680659291681054,0.16133452328696554,1.4696732446745615,284526406.0,5268944023.8070965,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean00_2.csv,
21,0,0,0,0,0.12674936327240746,13.932997411097114,1.5703757575982575,244740940.0,4456774095.464015,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
22,1,1,1,1,0.1166212557619445,10.564832539826657,1.4911584205356518,262403744.0,4808666759.756228,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
23,2,2,2,2,-0.10493304736334373,12.020340908209667,1.4742891068954396,270357482.0,4975139317.735719,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
24,3,3,3,3,0.15646931140291234,11.119873508688187,1.4644715915351891,261102224.0,4771271887.235825,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
25,4,4,4,4,-0.05829049049853429,15.295025403848152,1.7125827175735335,214239050.0,3847321786.6470366,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
26,5,5,5,5,-0.12672183074024948,17.667181839609608,1.6248691557437491,243627440.0,4449886859.358868,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
27,6,6,6,6,-0.7809315280885504,12.488608741346455,0.9256956883637588,432264370.0,8290838701.761548,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
28,7,7,7,7,0.005722521176289852,12.815276445578613,1.6919315524506722,213018310.0,3811536785.1157007,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
29,8,8,8,8,-0.11901283736640615,10.949826483268874,1.4242997146581369,274612366.0,5051254020.269628,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
30,9,9,9,9,-0.3944892672200309,11.5779373565615,1.2997533819855531,309628146.0,5764708439.878416,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
31,10,10,10,10,-0.05364920027413123,9.318690683220423,1.3786373520975117,288753378.0,5340350790.436301,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
32,11,11,11,11,0.02560672244280403,9.063756347525864,1.5397018811240548,244764518.0,4443716145.615496,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
33,12,12,12,12,0.16686287464018962,12.67053528872499,1.5461220557375135,246128822.0,4473335560.390357,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
34,13,13,13,13,0.5272991716976969,21.27488688377077,1.031007887680924,409610336.0,7836031617.83142,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
35,14,14,14,14,-0.21548762716361072,16.396920358324383,1.0523934577075469,440700246.0,8571692826.678723,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
36,15,15,15,15,-3.1419712310075467,50.7193958807172,0.4263620414255725,805192550.0,16497467629.26071,C:/Users/User/Dinesh Sir/eeg-during-mental-arithmetic-tasks-1.0.0/std_mead_2_all_csv\std_mean01_2.csv,
