,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Mean,Std,Entropy,Energy,Shan_Energy
0,0,0,0,0.0031207543923057416,11.026620358509598,1.7559219255434217,194701172.0,3444940522.2055016
1,1,1,1,0.0984184229090436,9.37129647100702,1.5494221440686111,244386910.0,4437335874.905364
2,2,2,2,0.050827092868741534,10.47826805831615,1.4826231680704143,256073126.0,4668992275.870637
3,3,3,3,0.04302614501605655,9.274666110026237,1.3726195464609618,288840670.0,5341143180.740922
4,4,4,4,0.00849648072982208,7.6127797876685355,1.5208567329728837,251000128.0,4573282920.166487
5,5,5,5,-0.0940240869449619,14.126021906541686,1.65625405360298,218103242.0,3913377252.389742
6,6,6,6,-0.009525490549601529,9.89089270129785,1.6541676184223797,216115226.0,3868911872.9622707
7,7,7,7,0.01693971590142604,7.910715367620113,1.6058480376157322,228136280.0,4109804311.9502993
8,8,8,8,-0.022942050409804324,9.752519117301151,1.5623883576098991,235949520.0,4265234371.9489727
9,9,9,9,-0.05812164312376985,9.696534003209491,1.5591158034693204,237877810.0,4303838500.455763
10,10,10,10,0.03230424898308143,9.079498139705343,1.607313694278482,230801742.0,4167002564.2071958
11,11,11,11,0.015434612297278966,8.86983795780347,1.6744602435821665,212615912.0,3799885978.237117
12,12,12,12,0.03805295458184201,10.356745052114393,1.6136895782823173,226327674.0,4074452424.7269006
13,13,13,13,0.01079571028041538,10.38319432274767,1.6021417836768461,227837986.0,4103047264.987847
14,14,14,14,-0.1086426849261288,12.353458625448013,1.6504800441967051,219149658.0,3931941669.782657
15,15,15,15,-0.05768010518392644,10.381312041764797,1.629584301999531,221786470.0,3982828199.5533867
16,16,16,16,0.16100919706203953,11.652548863245938,1.4254601783690255,276207876.0,5083530203.475458
17,17,17,17,-0.05611440850077032,9.776462779534548,1.4348735997926112,272003502.0,4998302939.440708
18,18,18,18,0.055314102592555606,11.1266428079545,1.6508865480437571,217320014.0,3892663359.064596
19,19,19,19,0.03370100398601232,5.843610443006762,1.6276850262136149,226113724.0,4074375122.8395214
20,20,20,20,0.0006979708103387308,0.08563016952974846,1.4902796844210908,312131482.0,5892678325.764737
