,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Mean,Std,Entropy,Energy,Shan_Energy
0,0,0,0,0,0.011989952931823195,7.887761066037759,1.2856295505015989,2744411974.0,57203519977.58202
1,1,1,1,1,0.050152800270419434,8.544472678232184,1.2190839341289328,2922653170.0,61277218504.02956
2,2,2,2,2,0.0271510085113096,11.316678862928796,1.4202013178499184,2403048722.0,49480538387.1056
3,3,3,3,3,-0.0349478349163514,11.69101820384249,1.2974916233073535,2751464130.0,57441434499.281136
4,4,4,4,4,0.05502014936628077,9.368958820321561,1.1966946697589136,3007253916.0,63248750531.53448
5,5,5,5,5,0.02957646736694808,7.896693403701223,1.3658783368707776,2536442808.0,52494210939.82656
6,6,6,6,6,0.07425569227590434,8.750661273856721,1.0455343582175702,3415813746.0,72504027336.95229
7,7,7,7,7,0.08597184863166395,9.61779904571519,1.1087788105995178,3246694420.0,68604842910.776054
8,8,8,8,8,0.020224713750071708,11.236055963567553,1.3726737108699094,2524266302.0,52211334759.02755
9,9,9,9,9,0.02967941571402557,11.761247029402039,1.4644868926231323,2304865544.0,47259056331.93301
10,10,10,10,10,0.07188202238969794,8.438059896694128,1.0176167317569569,3503118610.0,74484574195.52718
11,11,11,11,11,-0.010710891318665254,8.982383907309805,1.1663548616810075,3066996326.0,64522324913.42995
12,12,12,12,12,0.0032388881570280265,11.222854612503411,1.491174771705504,2240391420.0,45796545732.276146
13,13,13,13,13,-0.012217566852591507,11.686056411927865,1.453451628021694,2330023710.0,47821657538.68478
14,14,14,14,14,-0.03601762840116892,11.730789719059011,1.2641403893606393,2863665516.0,60043972130.8118
15,15,15,15,15,-0.11039427661077728,12.51160181286104,0.9921356822229749,3590347232.0,76586205071.83061
16,16,16,16,16,0.03313238653038884,12.873506849418346,1.4629924527450628,2302778002.0,47218073041.796875
17,17,17,17,17,0.03269523006130914,13.109805085647428,1.522620756105123,2172702338.0,44290736508.757774
18,18,18,18,18,0.05371836839270083,13.025308563454287,1.3690448771315118,2549148144.0,52795567893.97245
19,19,19,19,19,-0.015699591215349376,2.6421047127137247,1.187000895183876,3029953846.0,63758686547.777885
20,20,20,20,20,0.0006949751474020803,0.14716084048211486,1.2781179781659642,3376527408.0,72464321551.98122
