,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Mean,Std,Entropy,Energy,Shan_Energy
0,0,0,0,0,0,-0.19179908259901712,16.130052644470748,1.3786065002433887,295969132.0,5495425640.117229
1,1,1,1,1,1,-0.3027171319820475,12.409431066170988,1.4031926328635045,290176560.0,5380717888.428816
2,2,2,2,2,2,-0.2096286444546428,12.941453742709012,1.5615202642731791,240857360.0,4366901647.93938
3,3,3,3,3,3,-0.13782398625744555,12.317715248387305,1.6104180457880968,228637600.0,4123812782.5004025
4,4,4,4,4,4,-0.1842855843695832,12.981937588202742,1.5027737124212872,253456498.0,4618626355.572265
5,5,5,5,5,5,-0.19244590883929769,12.643877265288513,1.5202817017555874,249027792.0,4529962928.014144
6,6,6,6,6,6,-0.06430411998922042,11.587633266779447,1.5522344493447613,240967820.0,4367458670.1296015
7,7,7,7,7,7,-0.05497535624915414,13.324478757373376,1.4676796023425718,267030046.0,4897854840.328444
8,8,8,8,8,8,-0.1592757338367923,11.664751694448311,1.6542278686363843,216976230.0,3886446742.651416
9,9,9,9,9,9,-0.150264535671804,11.48763467623348,1.7313755807299605,199241034.0,3534439264.7584157
10,10,10,10,10,10,-0.04956283144350622,10.231520408251164,1.454459292809279,270270330.0,4967018010.739379
11,11,11,11,11,11,0.10495076809337003,10.84918210552628,1.5386524132634924,243556078.0,4418146624.1927185
12,12,12,12,12,12,-0.006721220151794487,10.635515194322693,1.3875158642335084,286900998.0,5301390377.8017025
13,13,13,13,13,13,-0.04399927221582425,11.419689667332284,1.443012356475469,269986554.0,4956158112.20628
14,14,14,14,14,14,0.01126848965080608,12.854983023402875,1.6035030508672445,232044230.0,4192569340.883984
15,15,15,15,15,15,0.12800146416828925,16.6605216997,1.5416632250770232,252703094.0,4616153857.993506
16,16,16,16,16,16,-0.12145233474592752,12.386545889800313,1.597866226406602,231073842.0,4171494027.922055
17,17,17,17,17,17,-0.25426885987491626,13.325366893754985,1.4068877897555343,274922416.0,5050244194.70086
18,18,18,18,18,18,-0.05064800792797288,10.881424715187396,1.4812402193455672,261930018.0,4794787848.317893
19,19,19,19,19,19,0.060268359556466526,7.969585482682924,1.4178745914864328,283943364.0,5246969029.558955
20,20,20,20,20,20,0.004680659291681054,0.16133452328696554,1.4696732446745617,284526406.0,5268944023.807097
