,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Mean,Std,Entropy,Energy,Shan_Energy
0,0,0,0,0,0.030679905917148007,7.9995599414044785,1.5390413605237285,243514018.0,4418817212.81153
1,1,1,1,1,0.02962152252003485,8.606429789965649,1.602114614452387,229488660.0,4138274384.298563
2,2,2,2,2,0.006584211752329202,10.114655831429106,1.7424573247853612,196609126.0,3481242345.170846
3,3,3,3,3,0.017082749260989766,10.751179437393237,1.6543584201960604,217226934.0,3892989288.4386563
4,4,4,4,4,0.020668473542460698,7.203629695705758,1.6595098895183757,214557460.0,3837733469.611223
5,5,5,5,5,0.10290033734979527,9.297803290045474,1.4519470614525678,264261852.0,4834096767.585483
6,6,6,6,6,0.032479677068452936,10.436721787542002,1.5871629602861583,232194260.0,4191233676.24072
7,7,7,7,7,0.016371395718232016,10.600692445369805,1.7202620409051186,202542650.0,3601062388.1938663
8,8,8,8,8,0.016892835174671297,10.740603564238636,1.6886678755100513,206184518.0,3668278446.8370667
9,9,9,9,9,-0.028148670911201424,10.424797901854992,1.7618319485162166,192716508.0,3405671367.0879006
10,10,10,10,10,-0.036490277576232216,8.303257633645652,1.6684507564965982,213472968.0,3817974449.561882
11,11,11,11,11,0.020330778360798482,8.715614934879348,1.6672217704826706,215127464.0,3853076640.0019627
12,12,12,12,12,0.033039955855701936,10.698608261338434,1.6928728154167498,210026360.0,3751291722.2042394
13,13,13,13,13,-0.011024787687731338,11.010884324164557,1.6741314424359592,214770218.0,3848534220.788126
14,14,14,14,14,0.0709280744942196,14.738334864903724,1.6083034720470766,224459678.0,4033417897.8532987
15,15,15,15,15,0.051853362575406486,12.198063201049054,1.5218143310488297,248890168.0,4527768250.758636
16,16,16,16,16,-0.009235819871194371,10.449840954880843,1.721360443962072,201131930.0,3571718816.580312
17,17,17,17,17,-0.01832623861256124,11.42907725208898,1.7655746673288109,191344108.0,3377610305.116835
18,18,18,18,18,0.05553253754065176,16.676842356961533,1.7464280796501583,197470834.0,3500859436.6975865
19,19,19,19,19,-0.02707150819195863,3.3078399224446606,1.4011069373841532,279455294.0,5145328577.003184
20,20,20,20,20,0.001345891415447992,0.08321483017800772,1.522025103708292,264905820.0,4867911407.995409
