,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Mean,Std,Entropy,Energy,Shan_Energy
0,0,0,0,0,0,-0.21968391951970448,14.686889723060784,1.3667817747518716,2686690560.0,55697835410.92798
1,1,1,1,1,1,-0.26331204751141385,10.851902433365352,1.5278228265686162,2332795026.0,47769195036.93579
2,2,2,2,2,2,-0.11214021263665463,10.411858034784505,1.1186060764098975,3489325392.0,74259110982.23991
3,3,3,3,3,3,-0.1293221965173089,9.839173985450847,1.11019913892799,3536751442.0,75439604770.76201
4,4,4,4,4,4,-0.011819798801592462,9.243904896097773,1.4317801971544568,2511101814.0,51731271405.080345
5,5,5,5,5,5,-0.17023044958660646,11.138045068335247,1.3573204985165956,2715796926.0,56382499151.46928
6,6,6,6,6,6,-0.02472025985105455,7.788509830603662,1.3688788923885975,2693749826.0,55898272401.84764
7,7,7,7,7,7,-0.013203259897343727,10.328515846326237,1.5301152604853523,2275384052.0,46414422987.38337
8,8,8,8,8,8,-0.038946187101246615,8.439289392139298,1.0709241113096462,3579642972.0,76167864829.88306
9,9,9,9,9,9,-0.02606441857164026,8.730967810783019,1.0487354551841968,3759917936.0,80617055050.62315
10,10,10,10,10,10,-0.05919545168397833,6.1021881260599935,1.4924824227346885,2339522532.0,47829192826.42893
11,11,11,11,11,11,-0.019865784037021317,6.402423353710837,1.265462418919339,2968479554.0,62137893530.02334
12,12,12,12,12,12,-0.04529444853513135,7.083326446782408,1.2764503507610674,2935895128.0,61351091230.34845
13,13,13,13,13,13,-0.04245486625697858,6.656476906953088,1.345707616388276,2769847390.0,57633033887.788574
14,14,14,14,14,14,-0.04726894384300842,5.981783899257691,1.0955460633574936,3603469402.0,76820642036.02115
15,15,15,15,15,15,0.040565305703206274,6.3876209524549035,1.1131691297519917,3484491970.0,74051600408.24905
16,16,16,16,16,16,-0.10914613556303944,10.88515490482498,1.0624755460171926,3698253594.0,79190874922.12637
17,17,17,17,17,17,-0.07381049172261556,8.46892077324847,0.9552795907117464,3927672596.0,84131320256.68481
18,18,18,18,18,18,-0.047712711996735976,7.044464398665728,1.2299569239429056,3114033708.0,65534220490.46988
19,19,19,19,19,19,-0.02760678437666152,5.5399263892068245,1.404767851288279,2567713642.0,52979435139.58048
20,20,20,20,20,20,0.002627973726141436,0.08084275940614777,1.1659478109108925,4107933102.0,89522466731.34445
