,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Mean,Std,Entropy,Energy,Shan_Energy
0,0,0,0,0,0,0.030679905917148007,7.9995599414044785,1.382902119834987,2477931266.0,51148355253.744484
1,1,1,1,1,1,0.02962152252003485,8.606429789965649,1.3314140267093861,2604527472.0,54012520098.8323
2,2,2,2,2,2,0.006584211752329202,10.114655831429106,1.3424701467813502,2588149592.0,53629192620.51418
3,3,3,3,3,3,0.017082749260989766,10.751179437393237,1.4907959914124749,2214415536.0,45200310155.86071
4,4,4,4,4,4,0.020668473542460698,7.203629695705758,1.3212379170307873,2639760404.0,54829465143.12531
5,5,5,5,5,5,0.10290033734979527,9.297803290045474,0.9407687579781945,3672433168.0,78269423771.64658
6,6,6,6,6,6,0.032479677068452936,10.436721787542002,0.6422889362046278,5145750152.0,113586284553.07376
7,7,7,7,7,7,0.016371395718232016,10.600692445369805,1.343413133389688,2573152158.0,53273877644.278824
8,8,8,8,8,8,0.016892835174671297,10.740603564238636,1.3255973627221713,2630994410.0,54610684941.23747
9,9,9,9,9,9,-0.028148670911201424,10.424797901854992,1.498402130530294,2195677176.0,44781260603.96755
10,10,10,10,10,10,-0.036490277576232216,8.303257633645652,1.1329695276498801,3307438236.0,70373115291.57964
11,11,11,11,11,11,0.020330778360798482,8.715614934879348,1.0192406830923768,3597890806.0,76914542404.7797
12,12,12,12,12,12,0.033039955855701936,10.698608261338434,1.2629694003277228,2809649154.0,58716347740.792305
13,13,13,13,13,13,-0.011024787687731338,11.010884324164557,1.431192508428648,2343101726.0,48068963788.489815
14,14,14,14,14,14,0.0709280744942196,14.738334864903724,0.6142502026177235,5685105848.0,126883951791.34676
15,15,15,15,15,15,0.051853362575406486,12.198063201049054,1.2685399864191533,2770778666.0,57800547841.45722
16,16,16,16,16,16,-0.009235819871194371,10.449840954880843,1.534734050077437,2118432428.0,43047852581.8546
17,17,17,17,17,17,-0.01832623861256124,11.42907725208898,1.537464281443496,2105719758.0,42762733397.36002
18,18,18,18,18,18,0.05553253754065176,16.676842356961533,0.7780035208554434,4803811026.0,105698172781.99599
19,19,19,19,19,19,-0.02707150819195863,3.3078399224446606,0.9541443546916968,3950203730.0,85357361722.36275
20,20,20,20,20,20,0.001345891415447992,0.08321483017800772,1.0292045846812283,3569068536.0,76382144396.54996
