,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Mean,Std,Entropy,Energy,Shan_Energy
0,0,0,0,0,0,0.0489066549283825,9.18627603555991,1.3417562119072104,2545802850.0,52655155386.97551
1,1,1,1,1,1,-0.05080986686972384,11.001029765245038,1.378861946849857,2463648020.0,50790182087.60512
2,2,2,2,2,2,0.06961822149257484,11.673138429051427,1.1270503562278866,3190614824.0,67520254300.526436
3,3,3,3,3,3,0.09191480316592014,12.143274575716918,1.41763010241667,2351021838.0,48231140904.41971
4,4,4,4,4,4,0.03268287765211746,13.314769279064539,1.545782836057095,2085233888.0,42294981620.68728
5,5,5,5,5,5,0.029566753862331336,12.098049405482335,1.4301507806970213,2341309542.0,48033893268.09805
6,6,6,6,6,6,-0.025445436670843653,12.698322473000117,1.5770875356760692,2014232710.0,40718550664.85814
7,7,7,7,7,7,0.05476763492609234,10.991008362046491,1.4637362258325874,2266074122.0,46344495846.237595
8,8,8,8,8,8,0.05606951377634448,11.98780157656847,1.4728124096043786,2231357684.0,45552174234.6512
9,9,9,9,9,9,0.07525976056995494,11.685520039550829,1.4736915396575179,2232057100.0,45574678622.94675
10,10,10,10,10,10,0.021678242673310904,10.064221397435498,1.2369480817621894,2828150342.0,59056742377.03763
11,11,11,11,11,11,0.038022921902829465,13.254982570570233,1.6053728524635023,1964022162.0,39599073431.76589
12,12,12,12,12,12,0.02107619642387209,11.359878993500502,1.5014904868458165,2183386826.0,44495884619.37223
13,13,13,13,13,13,0.007573342122040781,13.219918084321652,1.6046559109432246,1983165852.0,40050721186.42551
14,14,14,14,14,14,0.049732093340653725,12.690157164196606,1.3469502884288502,2569380922.0,53221352212.26637
15,15,15,15,15,15,0.006963354433576823,17.261349598855432,1.4992635686614348,2244380616.0,45925035455.634384
16,16,16,16,16,16,0.0988076403782875,12.030079118770894,1.422402966263709,2334397092.0,47860124189.172195
17,17,17,17,17,17,0.01401732476390008,13.51690336174483,1.6887882987777758,1787499336.0,35695134813.19046
18,18,18,18,18,18,0.00684078830649671,11.895673409316974,1.5816990087426026,2011729142.0,40664595948.42134
19,19,19,19,19,19,0.016867181177598674,3.810500274718504,1.5029762354304423,2206382916.0,45056083013.71325
20,20,20,20,20,20,0.0013439430737610288,0.14150361759096186,1.242272979395075,3557217396.0,76806485327.29231
