,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Mean,Std,Entropy,Energy,Shan_Energy
0,0,0,0,0,0,0.12674936327240746,13.932997411097114,1.5703757575982575,244740940.0,4456774095.464015
1,1,1,1,1,1,0.1166212557619445,10.564832539826657,1.4911584205356518,262403744.0,4808666759.756229
2,2,2,2,2,2,-0.10493304736334373,12.020340908209667,1.4742891068954396,270357482.0,4975139317.735719
3,3,3,3,3,3,0.15646931140291234,11.119873508688187,1.4644715915351891,261102224.0,4771271887.235824
4,4,4,4,4,4,-0.05829049049853429,15.295025403848152,1.7125827175735335,214239050.0,3847321786.647037
5,5,5,5,5,5,-0.12672183074024948,17.667181839609608,1.6248691557437493,243627440.0,4449886859.358868
6,6,6,6,6,6,-0.7809315280885504,12.488608741346455,0.9256956883637589,432264370.0,8290838701.761548
7,7,7,7,7,7,0.005722521176289852,12.815276445578613,1.6919315524506722,213018310.0,3811536785.115701
8,8,8,8,8,8,-0.11901283736640615,10.949826483268874,1.4242997146581367,274612366.0,5051254020.269627
9,9,9,9,9,9,-0.3944892672200309,11.5779373565615,1.2997533819855531,309628146.0,5764708439.878416
10,10,10,10,10,10,-0.05364920027413123,9.318690683220423,1.3786373520975115,288753378.0,5340350790.436301
11,11,11,11,11,11,0.02560672244280403,9.063756347525864,1.539701881124055,244764518.0,4443716145.615495
12,12,12,12,12,12,0.16686287464018962,12.67053528872499,1.5461220557375137,246128822.0,4473335560.390357
13,13,13,13,13,13,0.5272991716976969,21.27488688377077,1.0310078876809239,409610336.0,7836031617.83142
14,14,14,14,14,14,-0.21548762716361072,16.396920358324383,1.0523934577075467,440700246.0,8571692826.678723
15,15,15,15,15,15,-3.1419712310075467,50.7193958807172,0.42636204142557244,805192550.0,16497467629.26071
16,16,16,16,16,16,0.057519523072288324,13.084535088875976,1.571965871124719,242563746.0,4407620536.794729
17,17,17,17,17,17,-0.15367707069353015,11.239589541845213,1.479857214444324,256100994.0,4669332897.873543
18,18,18,18,18,18,0.5251317348977309,21.620874001101303,1.1830049206541473,372152170.0,7078029211.192547
19,19,19,19,19,19,0.11544091261993905,10.901041895792472,1.581552488712564,244376756.0,4449219758.003945
20,20,20,20,20,20,0.0009849766907875782,0.14441592914899254,1.1298837989159232,387056720.0,7380814103.449293
