,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Mean,Std,Entropy,Energy,Shan_Energy
0,0,0,0,0,-0.022223956874392745,7.481317034683218,1.609108782624446,1961986714.0,39575890886.490204
1,1,1,1,1,0.02797454829678004,7.424276227846904,1.5258544893753447,2104430216.0,42702363286.22048
2,2,2,2,2,-0.02536899867160426,6.429690835948961,1.5687635752922306,2017447602.0,40770073722.462585
3,3,3,3,3,0.08316427739533415,8.155657384022994,1.3643056399455369,2468924374.0,50901528577.860634
4,4,4,4,4,0.010486548571491007,8.500134256965088,1.4020027269998518,2377545178.0,48810214404.07953
5,5,5,5,5,-0.006759696616974829,9.272909019169497,1.6006300722801503,1968262616.0,39697405095.0791
6,6,6,6,6,0.015361878333419326,8.812301191881721,0.9362705463634818,3851046652.0,82704829166.07045
7,7,7,7,7,0.00631458847508021,9.790820351818633,1.6660006887654646,1836466342.0,36777944318.616875
8,8,8,8,8,-0.006735893852280878,7.1165356962477375,1.654094646726627,1871558518.0,37571581224.42359
9,9,9,9,9,-0.009869587214782328,8.389393534071441,1.589138342069694,1982979800.0,40014108208.999504
10,10,10,10,10,-0.006383730020431076,4.896689218323983,1.3235557109500113,2614332414.0,54208009411.02532
11,11,11,11,11,6.351346707941447e-05,5.962945769298442,1.62259853967963,1915721734.0,38521599845.5703
12,12,12,12,12,0.0015082948809148938,6.669450104833333,1.4729644247038969,2223680228.0,45366809497.55203
13,13,13,13,13,-0.009232968034920486,6.189180109377871,1.3734749567130367,2467034292.0,50853971487.98429
14,14,14,14,14,0.002018511081101904,5.455739787643132,1.2151468918943644,2905598302.0,60813584469.76705
15,15,15,15,15,0.01413783462853938,6.398611504218335,1.2104186971005335,2943581684.0,61765181935.33506
16,16,16,16,16,-0.002338427851564807,8.506103935451774,1.6154385123715977,1924403640.0,38710081834.512634
17,17,17,17,17,-0.011832841802300645,7.387323254079456,1.6985977012052416,1778901674.0,35517416598.976204
18,18,18,18,18,-0.008267109327665313,6.417382694318312,1.3021011612013222,2634493658.0,54638004548.989105
19,19,19,19,19,0.0005118717192105696,4.489489630564012,1.313122113522838,2658710120.0,55213421587.49528
20,20,20,20,20,8.79512197575434e-06,0.022273436613618008,1.55990214883663,2041175956.0,41301307953.414604
