,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Mean,Std,Entropy,Energy,Shan_Energy
0,0,0,0,0.009517990116139869,5.438465097288953,1.6097635782471582,1942432482.0,39114454311.4719
1,1,1,1,0.0076176229799465684,5.9376255175257775,1.5229041722294476,2132280666.0,43349775324.053246
2,2,2,2,-0.023824508540074167,7.092013757543384,1.4900517297939029,2194353564.0,44725637579.52911
3,3,3,3,-0.0047860188993215395,7.106706333848572,1.5780593877886606,2014548632.0,40719520789.58386
4,4,4,4,0.005973784223761445,5.376971339860717,1.452777858505242,2319253718.0,47555732244.895874
5,5,5,5,0.014380411340213848,7.454579111409553,1.561327822804726,2047108924.0,41442365335.43215
6,6,6,6,0.011828020684430677,8.496842827806452,1.5143007642672717,2151679052.0,43783240660.758385
7,7,7,7,-0.07778441415691273,8.776998775517331,1.2765937934445595,2751164146.0,57334741432.65986
8,8,8,8,0.013961959003114244,9.679967321659184,1.537202594760797,2102567058.0,42688438379.59577
9,9,9,9,-0.024368886029458067,11.108669594620824,1.5314498344900538,2114460368.0,42955779334.696434
10,10,10,10,-0.0024756981409754307,6.389274814533468,1.6043338344011506,1968290636.0,39703042200.44327
11,11,11,11,-0.03970383807021671,5.661525229481943,1.3385416099177667,2556768460.0,52887857649.3599
12,12,12,12,0.017285290324885644,10.153607213862198,1.5278933441072418,2141557590.0,43584732758.03197
13,13,13,13,0.008190692201284199,11.879254131413555,1.6168023902173376,1962202622.0,39589429493.09219
14,14,14,14,0.00620800309080738,10.836362731521847,1.460289988746881,2293246888.0,46986256782.208405
15,15,15,15,0.010778155989294784,10.147700829694557,1.5701302367635683,2039999306.0,41297835860.34427
16,16,16,16,0.005903634636108897,8.270046078941888,1.5811298934740152,2002593062.0,40449032453.374886
17,17,17,17,-0.011556810664612628,9.147870102248381,1.5597262030684245,2059024720.0,41719629705.776
18,18,18,18,0.024807734665759,12.020881627816602,1.582174465796581,2026158960.0,41007275054.99155
19,19,19,19,-0.022231743602570686,3.866508089733116,1.364642241336467,2518251762.0,52052951234.32593
20,20,20,20,0.0012346059059335965,0.09482300692704797,1.0804250023879352,4067517996.0,88698114841.56894
