,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Mean,Std,Entropy,Energy,Shan_Energy
0,0,0,0,0,0.003246786755374508,9.428663050685056,1.475889412319613,2252349150.0,46047521139.00936
1,1,1,1,1,-0.04022048063552983,10.702761235023264,1.3562046402363097,2541507142.0,52567104538.01833
2,2,2,2,2,-0.016511432334060477,9.411534524198087,1.4168070389610643,2386766988.0,49061473121.04014
3,3,3,3,3,-0.019819345949734127,11.132413685598252,1.6273117100461592,1922502444.0,38686215986.47195
4,4,4,4,4,-0.033914442147800844,9.247964250798175,1.4427378932773585,2360748628.0,48526428640.96153
5,5,5,5,5,-0.005428592788711743,10.917440136006052,1.6432867930777804,1879628040.0,37729866741.71879
6,6,6,6,6,-0.01616162148215089,8.73881208459872,1.4130927509828872,2406944454.0,49526916502.91599
7,7,7,7,7,-0.1748521777542648,18.33023603358518,0.9624894803556459,4120167894.0,89635299059.49492
8,8,8,8,8,-0.026522527982777832,9.768996832287476,1.425285551240326,2375073612.0,48802840137.55665
9,9,9,9,9,-0.03346527659341316,11.271493361957063,1.4528515242197455,2316422792.0,47494563694.26137
10,10,10,10,10,-0.06491086029842638,7.5176560785947695,1.3683281772409575,2531732010.0,52364512226.577095
11,11,11,11,11,0.0013444324203546122,9.866957688997386,1.3570407557718378,2557587132.0,52953484608.42701
12,12,12,12,12,-0.08472430689895827,11.127575389695528,1.2434601726005856,2847071860.0,59532138863.65573
13,13,13,13,13,-0.08249287471460151,11.888129218174708,1.456816228342353,2310942380.0,47383729637.67994
14,14,14,14,14,0.04505934861431461,13.262073066391695,1.4400206038502663,2431542208.0,50204117481.31641
15,15,15,15,15,-0.04918882753181005,15.810052623288248,1.1461491679034652,3136871660.0,66098099061.980896
16,16,16,16,16,-0.02598263581962407,9.757191893847905,1.4933096547403477,2210734392.0,45110321306.04389
17,17,17,17,17,-0.009846755415571723,11.312119565392438,1.4564306353393106,2303142860.0,47188740114.878136
18,18,18,18,18,-0.02636354439317448,11.611277497666538,1.3475269375086185,2584926522.0,53570894318.74203
19,19,19,19,19,-0.002672990711198489,5.346138699159695,1.5938159375625376,1979600662.0,39948021074.93977
20,20,20,20,20,-0.0013231742817805398,0.13613470697393434,0.7070484809013117,5215245318.0,115641605024.36275
