,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Mean,Std,Entropy,Energy,Shan_Energy
0,0,0,0,-0.029660785298412408,4.788783559049178,1.427819655409733,275000834.0,5060623009.440857
1,1,1,1,-0.015703403202457285,4.588947404396252,1.6204214795250715,225420646.0,4055533827.1806283
2,2,2,2,-0.027977341509962644,6.183963559177066,1.6807605071634142,211371894.0,3776398633.291407
3,3,3,3,-0.0929539750964166,7.688678392401773,1.6375814605365475,221469980.0,3978383819.3466597
4,4,4,4,-0.009055141722349086,4.652653874805677,1.1538666055664255,353327568.0,6662045603.0668335
5,5,5,5,-0.0004287526169291563,6.209868704072101,1.6230123136151768,222799722.0,4002493494.936248
6,6,6,6,-0.035691009672313194,5.01590548012492,1.74213484312322,198849730.0,3528472469.107562
7,7,7,7,-0.010352778255407155,6.583234871270827,1.6159250253746278,226602810.0,4081024652.8433266
8,8,8,8,-0.04342864316659123,7.755770422637196,1.6924610884768303,208341974.0,3716227533.397339
9,9,9,9,-0.041153006377306345,6.776575364564955,1.6164288286300197,227840896.0,4107119946.2957263
10,10,10,10,-0.14278472426535094,7.868347350921253,0.8711456810316385,537327280.0,10657246234.746195
11,11,11,11,0.05651509726962348,5.538738953726182,1.5477487427492596,243881000.0,4428708391.674004
12,12,12,12,-0.04096551494472992,7.756244248965848,1.691730860378156,209213246.0,3733576632.76628
13,13,13,13,0.02310148742315144,6.6132663022954485,1.5792180969141547,235693032.0,4261955045.769136
14,14,14,14,-0.00540322080233993,8.883406515615956,1.6569432501187398,220408364.0,3960551736.036892
15,15,15,15,0.16223787281706362,8.434663745688834,1.485432336615495,261226400.0,4781355731.960098
16,16,16,16,0.05956467436791343,7.882300057716348,1.5389405555096165,242230158.0,4390546928.166731
17,17,17,17,-0.03161728479865727,6.792835751397607,1.6572668834293214,213704488.0,3819188620.6061697
18,18,18,18,-0.055727642209055205,6.859002000781188,1.6240244574252727,228147410.0,4116669804.360285
19,19,19,19,0.00637865276218801,2.064261508453938,1.6983378064888222,209334700.0,3737434664.0692453
20,20,20,20,0.004347861108170997,0.14014385366325374,1.549441152831159,281803520.0,5255658675.282388
