,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Mean,Std,Entropy,Energy,Shan_Energy
0,0,0,0,0,-0.032404116724498506,11.364365333169127,1.57651387405906,237812184.0,4308509928.581135
1,1,1,1,1,-0.06270044401240625,8.612549118516759,1.4978446855620733,258462594.0,4723454135.790357
2,2,2,2,2,0.01446919106339513,8.57294315933195,1.6075596699373482,229371148.0,4136268013.515944
3,3,3,3,3,-0.03437492586853149,9.909866412917607,1.5642953415841123,239552804.0,4340457107.295234
4,4,4,4,4,-0.06837160060123293,9.112497281264107,1.4724375073083131,265898390.0,4878134448.34912
5,5,5,5,5,-0.007205006324367377,8.768732623732829,1.4953919856986255,260951284.0,4776874704.443717
6,6,6,6,6,-0.01030006263186755,9.17305688577892,1.679885671297546,214356794.0,3838265505.484966
7,7,7,7,7,-0.04697849264018665,9.40319841346666,1.5808831625649986,233402156.0,4214314566.453795
8,8,8,8,8,-0.0667245207942044,8.641445464331024,1.721971889777745,204390338.0,3639418652.868244
9,9,9,9,9,-0.036250142575765726,8.897803509196187,1.7065913176541643,207167432.0,3694053700.995515
10,10,10,10,10,-0.13655667848188108,8.490313576525368,1.5370398499706446,244417082.0,4435875646.872032
11,11,11,11,11,-0.12078375168991162,10.213937173107867,1.5838890695586147,239199730.0,4338510605.462398
12,12,12,12,12,-0.054901251356735216,8.539553914026849,1.5690074699339656,239288534.0,4338239574.039426
13,13,13,13,13,-0.06064583344606125,8.885632114435412,1.664859676017969,216726462.0,3885235612.99419
14,14,14,14,14,-0.021685872974641158,9.632172977162911,1.6850671912620643,212527670.0,3801204263.5516963
15,15,15,15,15,-0.04205147818904502,9.923717101656075,1.7255342456251197,203680726.0,3625322734.5758085
16,16,16,16,16,-0.01010373238260392,11.1172575509807,1.5588400449428068,242160528.0,4394227378.190048
17,17,17,17,17,-0.056945404241086975,9.687516715570586,1.765401034972999,194310784.0,3439718876.098959
18,18,18,18,18,-0.08269480293385857,9.322479790090654,1.5625422313091213,241802008.0,4388966486.806425
19,19,19,19,19,0.03588534245182762,4.5531470469606585,1.4724685911701882,261870940.0,4790093583.512302
20,20,20,20,20,-5.5733173663411976e-05,0.01895112939118168,1.6956015386273262,206885674.0,3685594672.7463174
